domain,class,mcr,ns1,ns2,ns3,ns4,ns5,len,vcr,ncr
borsaat,legit,11.142857142857142,3735.8571428571427,338.3333333333333,19.8,0.25,0.0,7.0,0.75,0.0
translateye,legit,107.45454545454545,4173.818181818182,439.0,74.55555555555556,13.375,5.857142857142857,11.0,0.5714285714285714,0.0
gmrkgcrilgvlld,dga,2.357142857142857,2428.714285714286,112.15384615384616,3.0833333333333335,0.0,0.0,14.0,0.07692307692307693,0.0
fabulositybookmarks,legit,13.578947368421053,2742.1052631578946,180.55555555555554,18.294117647058822,3.5,0.2,19.0,0.5833333333333334,0.0
guideandnews,legit,8.75,3538.25,266.90909090909093,29.2,1.7777777777777777,0.375,12.0,0.7142857142857143,0.0
hostingflame,legit,56.25,3262.25,477.8181818181818,108.4,21.22222222222222,3.5,12.0,0.5,0.0
michelin,legit,21.75,3400.25,498.42857142857144,45.833333333333336,2.6,0.25,8.0,0.6,0.0
qarchive,legit,13.125,2987.125,261.85714285714283,38.666666666666664,5.0,1.5,8.0,0.6,0.0
samsung,legit,2.142857142857143,3154.8571428571427,269.0,5.2,0.0,0.0,7.0,0.4,0.0
aoarewgpmlqr,dga,2.5,2963.9166666666665,163.9090909090909,9.3,0.2222222222222222,0.0,12.0,0.5,0.0
vente-unique,legit,31.0,3345.8333333333335,341.27272727272725,67.3,6.666666666666667,1.0,12.0,1.0,0.0
qfqvhpygitqaq,dga,0.0,1589.8461538461538,51.0,0.36363636363636365,0.0,0.0,13.0,0.18181818181818182,0.0
upbdmntlgupffv,dga,0.0,1946.4285714285713,88.53846153846153,1.8333333333333333,0.0,0.0,14.0,0.16666666666666666,0.0
gaoyan88,legit,1.5,2429.0,125.28571428571429,1.5,0.0,0.0,8.0,0.6,0.25
idqqimg,legit,0.0,2101.0,64.16666666666667,0.0,0.0,0.0,7.0,0.4,0.0
mnqljwexfgdtnn,dga,0.0,2355.285714285714,29.615384615384617,0.0,0.0,0.0,14.0,0.07692307692307693,0.0
qpovvrsodoqrvt,dga,0.42857142857142855,2483.285714285714,87.46153846153847,1.4166666666666667,0.0,0.0,14.0,0.2727272727272727,0.0
directionsmag,legit,173.30769230769232,3697.6153846153848,487.5,154.72727272727272,75.9,26.666666666666668,13.0,0.625,0.0
sweetdigital,legit,20.0,3779.1666666666665,251.0,15.0,2.4444444444444446,1.0,12.0,0.7142857142857143,0.0
mymdlktwajiw,dga,1.0,2014.0833333333333,19.636363636363637,0.4,0.0,0.0,12.0,0.2,0.0
premierinn,legit,58.5,4129.7,591.7777777777778,45.625,4.857142857142857,1.1666666666666667,10.0,0.6666666666666666,0.0
atkmodels,legit,14.0,3308.6666666666665,259.75,13.142857142857142,3.0,1.0,9.0,0.5,0.0
1616bbs,legit,0.0,842.1428571428571,9.5,0.0,0.0,0.0,7.0,0.0,0.5714285714285714
qkhlzeypamaygefyqtsmndmknpbbi,dga,0.41379310344827586,2247.0,76.0,0.7407407407407407,0.0,0.0,29.0,0.20833333333333334,0.0
expertrating,legit,242.5,3817.3333333333335,641.6363636363636,176.8,35.666666666666664,9.0,12.0,0.5,0.0
vfmraypvdidegypozgqwcrbakjw,dga,13.88888888888889,2014.2222222222222,97.03846153846153,5.32,0.0,0.0,27.0,0.22727272727272727,0.0
crresearch,legit,21.3,3993.1,461.55555555555554,54.5,10.857142857142858,4.333333333333333,10.0,0.42857142857142855,0.0
phaidon,legit,4.285714285714286,3156.8571428571427,312.8333333333333,9.4,0.0,0.0,7.0,0.75,0.0
merucabs,legit,22.875,3232.625,330.85714285714283,17.0,0.0,0.0,8.0,0.6,0.0
freeads,legit,24.857142857142858,4031.714285714286,327.5,23.0,3.0,0.0,7.0,0.75,0.0
movieclip,legit,8.0,3101.1111111111113,215.25,13.0,2.1666666666666665,0.4,9.0,0.8,0.0
xjwhacwhuyrli,dga,0.0,1956.2307692307693,96.66666666666667,1.8181818181818181,0.0,0.0,13.0,0.3,0.0
prudentbaby,legit,20.727272727272727,2912.7272727272725,289.0,55.22222222222222,6.25,1.0,11.0,0.375,0.0
wego360,legit,0.42857142857142855,1700.0,44.166666666666664,2.4,0.0,0.0,7.0,0.4,0.42857142857142855
rainbowdressup,legit,36.42857142857143,3376.5714285714284,392.3076923076923,44.083333333333336,5.636363636363637,0.8,14.0,0.5555555555555556,0.0
mapuzvmnlpvgcoezzt1kb2cv8,dga,0.6,1776.44,46.541666666666664,0.21739130434782608,0.0,0.0,25.0,0.19047619047619047,0.12
knbigqlmaqfitwzshyelaicm,dga,3.375,2454.625,128.3913043478261,2.772727272727273,0.0,0.0,24.0,0.3333333333333333,0.0
1wew68y71o7m6wrsv8z1kmred1,dga,0.0,1473.5,98.6,4.791666666666667,0.0,0.0,26.0,0.13043478260869565,0.38461538461538464
webmdhealthservices,legit,23.68421052631579,3357.842105263158,319.6666666666667,24.352941176470587,5.5625,1.6666666666666667,19.0,0.46153846153846156,0.0
5358dqty6ur91baxq45v3efj0,dga,0.0,1101.8,30.083333333333332,0.0,0.0,0.0,25.0,0.13636363636363635,0.44
detsofjzojvdinrljpvbiam,dga,2.608695652173913,2526.2608695652175,164.63636363636363,6.333333333333333,0.0,0.0,23.0,0.35294117647058826,0.0
maxporn,legit,30.428571428571427,2879.4285714285716,220.16666666666666,18.6,1.5,0.0,7.0,0.4,0.0
1aav98sfh2vgr12t7qdoe4zpwu,dga,0.23076923076923078,1669.4615384615386,12.24,0.08333333333333333,0.0,0.0,26.0,0.23809523809523808,0.3076923076923077
ivkl769l3rr1cgu0npnelhux,dga,1.375,2016.0833333333333,53.130434782608695,0.5,0.0,0.0,24.0,0.2,0.25
awtmudwogoyjl,dga,0.0,2199.5384615384614,33.583333333333336,0.09090909090909091,0.0,0.0,13.0,0.4444444444444444,0.0
ajyktwomgqocle,dga,0.0,2341.5714285714284,93.92307692307692,3.8333333333333335,0.0,0.0,14.0,0.4,0.0
lihsfdnpbnai,dga,0.25,2969.25,86.72727272727273,0.1,0.0,0.0,12.0,0.3333333333333333,0.0
